Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	Estimates Start After
Afghanistan	"Gross domestic product, constant prices"	National currency	Billions	Source: National Statistical Office Latest actual data: 2011. Latest actual data is for the solar year 2011/12 Notes: Until 2012 data for Afghanistan is based on a solar year that runs from March 21 to March 20; from 2013 data is recalculated to a new financial year that runs from December 21 to December 20 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December. Reporting year starts March 21. Until 2012: April/March; from 2013: January/December. Base year: 2002. Base year is the solar year 2002/03 Chain-weighted: No Primary domestic currency: Afghani Data last updated: 03/2013	185.47	201.132	203.255	225.969	238.52	271.293	281.09	340.176	368.868	394.555	434.855	448.337	469.667	499.14	530.007	560.48	587.63	2011
Afghanistan	"Gross domestic product, constant prices"	Percent change		"See notes for:  Gross domestic product, constant prices (National currency)."	n/a	8.444	1.056	11.175	5.554	13.74	3.611	21.02	8.435	6.964	10.214	3.101	4.757	6.275	6.184	5.75	4.844	2011
Afghanistan	"Gross domestic product, current prices"	National currency	Billions	Source: National Statistical Office Latest actual data: 2011. Latest actual data is for the solar year 2011/12 Notes: Until 2012 data for Afghanistan is based on a solar year that runs from March 21 to March 20; from 2013 data is recalculated to a new financial year that runs from December 21 to December 20 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December. Reporting year starts March 21. Until 2012: April/March; from 2013: January/December. Base year: 2002. Base year is the solar year 2002/03 Chain-weighted: No Primary domestic currency: Afghani Data last updated: 03/2013	185.471	224.696	252.597	311.436	352.308	435.692	533.522	615.082	729.905	862.84	"1,013.65"	"1,103.13"	"1,219.76"	"1,359.07"	"1,514.94"	"1,680.07"	"1,847.14"	2011
Afghanistan	"Gross domestic product, current prices"	U.S. dollars	Billions	"See notes for:  Gross domestic product, current prices (National currency)."	4.135	4.584	5.281	6.272	7.058	8.746	10.47	12.487	15.94	18.067	19.906	20.984	22.582	24.245	26.071	27.892	29.553	2011
Afghanistan	"Gross domestic product, deflator"	Index		"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency)."	100	111.716	124.276	137.822	147.706	160.598	189.805	180.813	197.877	218.687	233.102	246.05	259.708	272.282	285.834	299.755	314.336	2011
Afghanistan	"Gross domestic product per capita, constant prices"	National currency	Units	"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."	"8,134.66"	"8,450.91"	"8,219.55"	"8,795.10"	"8,935.12"	"9,898.54"	"9,910.14"	"11,621.40"	"12,222.71"	"12,693.06"	"13,582.06"	"13,595.32"	"13,827.29"	"14,266.98"	"14,708.03"	"15,100.66"	"15,371.00"	2007
Afghanistan	"Gross domestic product per capita, current prices"	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"8,134.68"	"9,441.02"	"10,214.92"	"12,121.61"	"13,197.70"	"15,896.88"	"18,809.91"	"21,013.00"	"24,185.91"	"27,758.06"	"31,659.98"	"33,451.26"	"35,910.60"	"38,846.41"	"42,040.57"	"45,264.93"	"48,316.66"	2007
Afghanistan	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	181.369	192.599	213.546	244.124	264.401	319.113	369.139	426.583	528.181	581.227	621.745	636.325	664.814	692.996	723.484	751.474	773.043	2007
Afghanistan	Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP	Current international dollar	Billions	"See notes for:  Gross domestic product, current prices (National currency)."	12.265	13.58	13.387	15.195	16.557	19.378	20.523	25.054	27.53	30.075	33.74	35.358	37.776	40.956	44.394	47.955	51.344	2011
Afghanistan	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	537.934	570.6	541.367	591.402	620.232	707.044	723.572	855.913	912.228	967.527	"1,053.81"	"1,072.19"	"1,112.16"	"1,170.65"	"1,231.96"	"1,292.02"	"1,343.03"	2007
Afghanistan	Gross domestic product based on purchasing-power-parity (PPP) share of world total	Percent		"See notes for:  Gross domestic product, current prices (National currency)."	0.027	0.028	0.025	0.027	0.027	0.029	0.029	0.036	0.037	0.038	0.041	0.041	0.041	0.042	0.042	0.043	0.043	2011
Afghanistan	Implied PPP conversion rate	National currency per current international dollar		"See notes for:  Gross domestic product, current prices (National currency)."	15.122	16.546	18.869	20.496	21.279	22.484	25.996	24.55	26.513	28.69	30.043	31.199	32.289	33.184	34.125	35.034	35.976	2011
